10/18/2019                                                                                                                                                                               Dynamic List Display                                                                                                                                                                                       1

ECOLAB

Plant:			US10
Insp.lot origin:			03
Lot created on:			09/18/2019 To 10/18/2019
Insp. start date:			/ /
End of Inspection:			/ /
Maximum No. of Hits:			0
Char. filter:			1
Report name:			ZMQMR01A_INSPECTION_REPORT
Run Date :			10/18/2019
By:			Garrett Lowe

	Inspection type	Status		Inspection Lot	Material	Complaint quantity	Complaint quantity Unit	Refer. Object "Order"	Order Quantity delivered	Unit	Batch object	QATM	Short text	 Ok	Result	Unit QM char.	Lower spec.	Upper spec.	Sample Insp.Point	User Inspector	Insp.date Sample	Info field 3	Sample ID	Timestamp
	03			   30000798840	943803			101127302	             18,349.735	KG	3389JE7400	463-A	Color Spectrophotometer Delta E		             1.0		             0.0	             8.0	B GV	VIDMAGF	09/19/2019	Mode: Transmittance sample preparation:	        1	17:43:20
	03			   30000798840	943803			101127302	             18,349.735	KG	3389JE7400	340-A	Visual		OK		               0	               0	B GV	VIDMAGF	09/19/2019	Appearance of product in a clear, colorl	        1	17:43:20
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	340-A	Visual		OK		               0	               0	TTILM VV	VARANVA	09/20/2019	Appearance of product in a clear, colorl	        1	04:01:00
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	340-A	Visual		OK		               0	               0	TTILMC3 VV	VARANVA	09/20/2019	Appearance of product in a clear, colorl	        2	04:05:19
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	463-A	Color Spectrophotometer Delta E				             0.0	             8.0	TTILM VV	VARANVA	09/20/2019	Mode: Transmittance sample preparation:	        1	04:01:00
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	463-A	Color Spectrophotometer Delta E				             0.0	             8.0	TTILMC3 VV	VARANVA	09/20/2019	Mode: Transmittance sample preparation:	        2	04:05:19
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	005-E	Titration at pH 4.0		            12.1	ML	            11.7	            12.8	TTILM VV	VARANVA	09/20/2019	10 mL of a 1% soln prepared in a 1000 mL	        1	04:01:00
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	005-E	Titration at pH 4.0		            12.5	ML	            11.7	            12.8	TTILMC3 VV	VARANVA	09/20/2019	10 mL of a 1% soln prepared in a 1000 mL	        2	04:05:19
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	024-A	Specific Gravity		           1.517		           1.500	           1.530	TTILM VV	VARANVA	09/20/2019		        1	04:01:00
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	024-A	Specific Gravity		           1.516		           1.500	           1.530	TTILMC3 VV	VARANVA	09/20/2019		        2	04:05:19
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	INFOADJ	INFO Batch Adjustment				               0	               0	TTILM VV	VARANVA	09/20/2019		        1	04:01:00
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	INFOADJ	INFO Batch Adjustment				               0	               0	TTILMC3 VV	VARANVA	09/20/2019		        2	04:05:19
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	INFOBOQ	INFO BOQ Comments				               0	               0	TTILM VV	VARANVA	09/20/2019		        1	04:01:00
	03			   30000798841	943803			101127308	             14,335.731	KG	3389JE7500	INFOBOQ	INFO BOQ Comments				               0	               0	TTILMC3 VV	VARANVA	09/20/2019		        2	04:05:19
	03			   30000798842	913989			101127317	             12,979.939	KG	3389JE7600	340-A	Visual		OK		               0	               0	ILM B TM	MARTIT1	09/19/2019		        1	09:20:47
	03			   30000798842	913989			101127317	             12,979.939	KG	3389JE7600	024-A	Specific Gravity		           1.482		           1.469	           1.513	ILM B TM	MARTIT1	09/19/2019	68 Deg F	        1	09:20:47
	03			   30000798842	913989			101127317	             12,979.939	KG	3389JE7600	005-E	Titration to pH 4.0		            5.86	ML	            5.40	            6.20	ILM B TM	MARTIT1	09/19/2019	5mL of a 1% soln prepared in a 1000mL fl	        1	09:20:47
	03			   30000798843	930297			101127321	              6,722.180	KG	3389JE7700	340-A	Visual		OK		               0	               0	B ILM CAS	SLABOCH	09/19/2019	Appearance of product in clear, colorles	        1	21:08:37
	03			   30000798843	930297			101127321	              6,722.180	KG	3389JE7700	024-A	Specific Gravity		            1.49		            1.43	            1.53	B ILM CAS	SLABOCH	09/19/2019	Specific Gravity @ 68 deg F	        1	21:08:37
	03			   30000798843	930297			101127321	              6,722.180	KG	3389JE7700	005-F	Titration @ pH 8.3		            11.3	ML	            10.5	            11.5	B ILM CAS	SLABOCH	09/19/2019	10 mL of a 1.0% soln prepared in a 1000	        1	21:08:37
	03			   30000798843	930297			101127321	              6,722.180	KG	3389JE7700	005-E	Titration at pH 4.0		            11.3	ML	            10.7	            11.7	B ILM CAS	SLABOCH	09/19/2019	10 mL of a 1.0% soln prepared in a 1000	        1	21:08:37
	03			   30000798843	930297			101127321	              6,722.180	KG	3389JE7700	INFOBOQ	INFO BOQ Comments				               0	               0	B ILM CAS	SLABOCH	09/19/2019		        1	21:08:37
	03			   30000798844	928101			101127323	              6,602.952	KG	3389JE7800	005-E	Titration at pH 4.0		            2.73	ML	            2.20	            3.20	B ILM CAS	SLABOCH	09/19/2019	FOR BLEND TANK: 10 mL of a 1% soln prepa	        1	16:36:56
	03			   30000798844	928101			101127323	              6,602.952	KG	3389JE7800	005-F	Titration @ pH 8.3		            5.50	ML	            4.95	            6.05	B ILM CAS	SLABOCH	09/19/2019	FOR BLEND TANK: 10 mL of a 1% soln prepa	        1	16:36:56
	03			   30000798844	928101			101127323	              6,602.952	KG	3389JE7800	160-A	 Foaming Property Analysis		              0	ML	               0	               5	B ILM CAS	SLABOCH	09/19/2019	10mL product, time 0.	        1	16:36:56
	03			   30000798844	928101			101127323	              6,602.952	KG	3389JE7800	160-A	 Foaming Property Analysis		              0	ML	               0	               0	B ILM CAS	SLABOCH	09/19/2019	at 15 seconds.	        1	16:36:56
	03			   30000798844	928101			101127323	              6,602.952	KG	3389JE7800	340-A	Visual		OK		               0	               0	B ILM CAS	SLABOCH	09/19/2019	Appearance of product in clear coloroles	        1	16:36:56
	03			   30000798844	928101			101127323	              6,602.952	KG	3389JE7800	463-E	Color Spectrophotometer Delta E00				             0.0	             2.5	B ILM CAS	SLABOCH	09/19/2019	<QATM 463-E Delta E00> Mode: Transmittan	        1	16:36:56
	03			   30000798844	928101			101127323	              6,602.952	KG	3389JE7800	INFOBOQ	INFO BOQ Comments				               0	               0	B ILM CAS	SLABOCH	09/19/2019		        1	16:36:56
	03			   30000798845	943803			101127325	              8,601.438	KG	3389JE7900	INFOBOQ	INFO BOQ Comments				               0	               0	B ILM CAS	SLABOCH	09/19/2019		        1	15:11:57
	03			   30000798845	943803			101127325	              8,601.438	KG	3389JE7900	INFOADJ	INFO Batch Adjustment				               0	               0	B ILM CAS	SLABOCH	09/19/2019		        1	15:11:57
	03			   30000798845	943803			101127325	              8,601.438	KG	3389JE7900	024-A	Specific Gravity		           1.504		           1.500	           1.530	B ILM CAS	SLABOCH	09/19/2019		        1	15:11:57
	03			   30000798845	943803			101127325	              8,601.438	KG	3389JE7900	005-E	Titration at pH 4.0		            11.9	ML	            11.7	            12.8	B ILM CAS	SLABOCH	09/19/2019	10 mL of a 1% soln prepared in a 1000 mL	        1	15:11:57
	03			   30000798845	943803			101127325	              8,601.438	KG	3389JE7900	463-A	Color Spectrophotometer Delta E				             0.0	             8.0	B ILM CAS	SLABOCH	09/19/2019	Mode: Transmittance sample preparation:	        1	15:11:57
	03			   30000798845	943803			101127325	              8,601.438	KG	3389JE7900	340-A	Visual		OK		               0	               0	B ILM CAS	SLABOCH	09/19/2019	Appearance of product in a clear, colorl	        1	15:11:57
	03			   30000798846	943803			101127326	              9,748.297	KG	3389JE8000	340-A	Visual		OK		               0	               0	ILM B JKI	KINGJA2	09/19/2019	Appearance of product in a clear, colorl	        1	13:21:33
	03			   30000798846	943803			101127326	              9,748.297	KG	3389JE8000	463-A	Color Spectrophotometer Delta E		             8.0		             0.0	             8.0	ILM B JKI	KINGJA2	09/19/2019	Mode: Transmittance sample preparation:	        1	13:21:33
	03			   30000798846	943803			101127326	              9,748.297	KG	3389JE8000	005-E	Titration at pH 4.0		            12.1	ML	            11.7	            12.8	ILM B JKI	KINGJA2	09/19/2019	10 mL of a 1% soln prepared in a 1000 mL	        1	13:21:33
	03			   30000798846	943803			101127326	              9,748.297	KG	3389JE8000	024-A	Specific Gravity		           1.516		           1.500	           1.530	ILM B JKI	KINGJA2	09/19/2019		        1	13:21:33
	03			   30000798846	943803			101127326	              9,748.297	KG	3389JE8000	INFOADJ	INFO Batch Adjustment				               0	               0	ILM B JKI	KINGJA2	09/19/2019		        1	13:21:33
	03			   30000798846	943803			101127326	              9,748.297	KG	3389JE8000	INFOBOQ	INFO BOQ Comments				               0	               0	ILM B JKI	KINGJA2	09/19/2019		        1	13:21:33
	03			   30000798847	915207			101127327	             18,289.174	KG	3389JE8100	340-A	Visual		OK		               0	               0	ILM B JJK	KIEPKJA	09/20/2019	Appearance of product in a clear, colorl	        1	00:53:19
	03			   30000798847	915207			101127327	             18,289.174	KG	3389JE8100	006-A	pH of a 1 percent Soln		            12.8		            12.0	             0.0	ILM B JJK	KIEPKJA	09/20/2019		        1	00:53:19
	03			   30000798847	915207			101127327	             18,289.174	KG	3389JE8100	005-F	Titration to pH 8.3		            11.5	ML	            11.2	            12.5	ILM B JJK	KIEPKJA	09/20/2019	Chemist Provide: 10 mL of a 1% soln prep	        1	00:53:19
	03			   30000798847	915207			101127327	             18,289.174	KG	3389JE8100	005-E	Titration to pH 4.0		            12.0	ML	            11.5	            12.8	ILM B JJK	KIEPKJA	09/20/2019	Chemist provide: 10 mL of a 1% percent s	        1	00:53:19
	03			   30000798847	915207			101127327	             18,289.174	KG	3389JE8100	024-A	Specific Gravity		           1.514		           1.435	           1.586	ILM B JJK	KIEPKJA	09/20/2019	Specific gravity at 68 deg F	        1	00:53:19
	03			   30000798921	917352			101123638	             15,000.000	KG	3389JE0100	005-F	Titration to pH 8.3		            1.89	ML	            1.00	            3.00	BATCH JS	SCHOPJO	09/19/2019	Plant Test Characteristic	        1	00:36:01
	03			   30000798921	917352			101123638	             15,000.000	KG	3389JE0100	024-A	Specific Gravity		            1.06		            1.02	            1.10	BATCH JS	SCHOPJO	09/19/2019	Plant Test Characteristic	        1	00:36:01
	03			   30000798921	917352			101123638	             15,000.000	KG	3389JE0100	340-A	Visual		OK		               0	               0	BATCH JS	SCHOPJO	09/19/2019	Plant Test Characteristic 6/2	        1	00:36:01
	03			   30000798922	917352			101123631	             15,000.000	KG	3389JE0300	005-F	Titration to pH 8.3		            1.85	ML	            1.00	            3.00	BATCH JS	SCHOPJO	09/19/2019	Plant Test Characteristic	        1	05:17:15
	03			   30000798922	917352			101123631	             15,000.000	KG	3389JE0300	024-A	Specific Gravity		            1.06		            1.02	            1.10	BATCH JS	SCHOPJO	09/19/2019	Plant Test Characteristic	        1	05:17:15
	03			   30000798922	917352			101123631	             15,000.000	KG	3389JE0300	340-A	Visual		OK		               0	               0	BATCH JS	SCHOPJO	09/19/2019	Plant Test Characteristic 6/2	        1	05:17:15
	03			   30000798923	917352			101128597	             15,000.000	KG	3389JE0500	340-A	Visual		OK		               0	               0	B CAS	SLABOCH	09/19/2019	Plant Test Characteristic 6/2	        1	14:17:08
	03			   30000798923	917352			101128597	             15,000.000	KG	3389JE0500	024-A	Specific Gravity		            1.06		            1.02	            1.10	B CAS	SLABOCH	09/19/2019	Plant Test Characteristic	        1	14:17:08
	03			   30000798923	917352			101128597	             15,000.000	KG	3389JE0500	005-F	Titration to pH 8.3		            1.93	ML	            1.00	            3.00	B CAS	SLABOCH	09/19/2019	Plant Test Characteristic	        1	14:17:08
	03			   30000798924	913735			101118443	             13,700.000	KG	3389JE0700	024-A	Specific Gravity		           0.987		           0.895	           1.015	B VV	VARANVA	09/25/2019	At 68 deg F	        1	04:08:55
	03			   30000798924	913735			101118443	             13,700.000	KG	3389JE0700	006-C	pH of a 100% Soln		             7.2		             5.0	             9.0	B VV	VARANVA	09/25/2019		        1	04:08:55
	03			   30000798924	913735			101118443	             13,700.000	KG	3389JE0700	340-A	Visual		OK		               0	               0	B VV	VARANVA	09/25/2019		        1	04:08:55
	03			   30000798924	913735			101118443	             13,700.000	KG	3389JE0700	INFOADJ	INFO Batch Adjustment				               0	               0	B VV	VARANVA	09/25/2019		        1	04:08:55
	03			   30000798924	913735			101118443	             13,700.000	KG	3389JE0700	INFOBOQ	INFO BOQ Comments				               0	               0	B VV	VARANVA	09/25/2019		        1	04:08:55
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	INFOBOQ	INFO BOQ Comments				               0	               0	B JZ	ZUKLIJO	09/22/2019		        1	03:45:22
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	INFOADJ	INFO Batch Adjustment				               0	               0	B JZ	ZUKLIJO	09/22/2019		        1	03:45:22
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	024-A	Specific Gravity		           1.159		           1.142	           1.172	B JZ	ZUKLIJO	09/22/2019	68캟	        1	03:45:22
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	005-E	Titration to pH 4.0		           12.40	ML	           11.00	           14.00	B JZ	ZUKLIJO	09/22/2019	Titrate 50 ml of a 1% solution using 0.1	        1	03:45:22
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	005-F	Titration to pH 8.3		            8.70	ML	            7.30	           10.00	B JZ	ZUKLIJO	09/22/2019	Titrate 50 ml of a 1% solution using 0.1	        1	03:45:22
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	340-A	Visual		OK		               0	               0	B JZ	ZUKLIJO	09/22/2019	Appearance of product in clear colorless	        1	03:45:22
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	007-A	Available Chlorine		            3.06	%	            2.65	            3.50	B JZ	ZUKLIJO	09/22/2019	%Available chlorine, 50 ml of a 1% solut	        1	03:45:22
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	340-A	Visual				               0	               0	IP NLG	GRIFFNI	09/21/2019	For In Line Mixing (ILM) only FBOM 91532	        1	12:45:56
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	005-E	Titration to pH 4.0			ML	            12.2	            15.5	IP NLG	GRIFFNI	09/21/2019	For In-Line Mixing (ILM) only FBOM 91532	        1	12:45:56
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	005-F	Titration to pH 8.3			ML	            10.0	            12.8	IP NLG	GRIFFNI	09/21/2019	For In Line Mixing (ILM) only FBOM 91532	        1	12:45:56
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	006-C	pH of a 100% Soln		            13.5		             8.0	             0.0	IP NLG	GRIFFNI	09/21/2019	Process Safety In-Process Sample No. 2.	        1	12:45:56
	03			   30000798925	915323			101123706	              8,200.000	KG	3389JE0900	029-A	Water Hardness		             0.1		             0.0	             0.5	IP NLG	GRIFFNI	09/21/2019	Grains per gallon. In-Process Sample No.	        1	12:45:56
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	INFOBOQ	INFO BOQ Comments				               0	               0	BATCHJKI	KINGJA2	09/22/2019		        1	13:57:50
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	INFOADJ	INFO Batch Adjustment				               0	               0	BATCHJKI	KINGJA2	09/22/2019		        1	13:57:50
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	024-A	Specific Gravity		           1.156		           1.142	           1.172	BATCHJKI	KINGJA2	09/22/2019	68캟	        1	13:57:50
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	005-E	Titration to pH 4.0		           11.53	ML	           11.00	           14.00	BATCHJKI	KINGJA2	09/22/2019	Titrate 50 ml of a 1% solution using 0.1	        1	13:57:50
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	005-F	Titration to pH 8.3		            8.10	ML	            7.30	           10.00	BATCHJKI	KINGJA2	09/22/2019	Titrate 50 ml of a 1% solution using 0.1	        1	13:57:50
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	340-A	Visual		OK		               0	               0	BATCHJKI	KINGJA2	09/22/2019	Appearance of product in clear colorless	        1	13:57:50
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	007-A	Available Chlorine		            3.08	%	            2.65	            3.50	BATCHJKI	KINGJA2	09/22/2019	%Available chlorine, 50 ml of a 1% solut	        1	13:57:50
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	340-A	Visual				               0	               0	IP NLG	GRIFFNI	09/22/2019	For In Line Mixing (ILM) only FBOM 91532	        1	13:04:18
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	005-E	Titration to pH 4.0			ML	            12.2	            15.5	IP NLG	GRIFFNI	09/22/2019	For In-Line Mixing (ILM) only FBOM 91532	        1	13:04:18
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	005-F	Titration to pH 8.3			ML	            10.0	            12.8	IP NLG	GRIFFNI	09/22/2019	For In Line Mixing (ILM) only FBOM 91532	        1	13:04:18
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	006-C	pH of a 100% Soln		            13.9		             8.0	             0.0	IP NLG	GRIFFNI	09/22/2019	Process Safety In-Process Sample No. 2.	        1	13:04:18
	03			   30000798926	915323			101123704	              9,800.000	KG	3389JE1100	029-A	Water Hardness		             0.1		             0.0	             0.5	IP NLG	GRIFFNI	09/22/2019	Grains per gallon. In-Process Sample No.	        1	13:04:18
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	INFOBOQ	INFO BOQ Comments				               0	               0	B JZ	ZUKLIJO	09/23/2019		        1	00:49:01
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	INFOADJ	INFO Batch Adjustment				               0	               0	B JZ	ZUKLIJO	09/23/2019		        1	00:49:01
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	024-A	Specific Gravity		           1.160		           1.142	           1.172	B JZ	ZUKLIJO	09/23/2019	68캟	        1	00:49:01
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	005-E	Titration to pH 4.0		           12.90	ML	           11.00	           14.00	B JZ	ZUKLIJO	09/23/2019	Titrate 50 ml of a 1% solution using 0.1	        1	00:49:01
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	005-F	Titration to pH 8.3		            9.00	ML	            7.30	           10.00	B JZ	ZUKLIJO	09/23/2019	Titrate 50 ml of a 1% solution using 0.1	        1	00:49:01
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	340-A	Visual		OK		               0	               0	B JZ	ZUKLIJO	09/23/2019	Appearance of product in clear colorless	        1	00:49:01
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	007-A	Available Chlorine		            3.12	%	            2.65	            3.50	B JZ	ZUKLIJO	09/23/2019	%Available chlorine, 50 ml of a 1% solut	        1	00:49:01
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	340-A	Visual				               0	               0	IPJKI	KINGJA2	09/22/2019	For In Line Mixing (ILM) only FBOM 91532	        1	16:19:10
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	005-E	Titration to pH 4.0			ML	            12.2	            15.5	IPJKI	KINGJA2	09/22/2019	For In-Line Mixing (ILM) only FBOM 91532	        1	16:19:10
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	005-F	Titration to pH 8.3			ML	            10.0	            12.8	IPJKI	KINGJA2	09/22/2019	For In Line Mixing (ILM) only FBOM 91532	        1	16:19:10
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	006-C	pH of a 100% Soln		            13.5		             8.0	             0.0	IPJKI	KINGJA2	09/22/2019	Process Safety In-Process Sample No. 2.	        1	16:19:10
	03			   30000798927	915323			101123702	              9,800.000	KG	3389JE1300	029-A	Water Hardness		             0.3		             0.0	             0.5	IPJKI	KINGJA2	09/22/2019	Grains per gallon. In-Process Sample No.	        1	16:19:10
	03			   30000798928	908365			101123660	             12,800.000	KG	3389JE1500	340-A	Visual		OK		               0	               0	B JZ	ZUKLIJO	09/25/2019	Appearance of product in clear, colorles	        1	23:45:41
	03			   30000798928	908365			101123660	             12,800.000	KG	3389JE1500	006-A	pH of a 1 percent Soln		            10.9		            10.1	            11.3	B JZ	ZUKLIJO	09/25/2019		        1	23:45:41
	03			   30000798928	908365			101123660	             12,800.000	KG	3389JE1500	050-A	% EDTA		            0.55	%	            0.46	            0.58	B JZ	ZUKLIJO	09/25/2019	Analytically weigh 3g. Titrate with CuSO	        1	23:45:41
	03			   30000798928	908365			101123660	             12,800.000	KG	3389JE1500	024-A	Specific Gravity		           1.023		           0.990	           1.030	B JZ	ZUKLIJO	09/25/2019	68 deg F	        1	23:45:41
	03			   30000798928	908365			101123660	             12,800.000	KG	3389JE1500	INFOBOQ	INFO BOQ Comments				               0	               0	B JZ	ZUKLIJO	09/25/2019		        1	23:45:41
	03			   30000798929	908365			101123671	             12,800.000	KG	3389JE1700	340-A	Visual		OK		               0	               0	B TM	MARTIT1	09/27/2019	Appearance of product in clear, colorles	        1	08:51:37
	03			   30000798929	908365			101123671	             12,800.000	KG	3389JE1700	006-A	pH of a 1 percent Soln		            11.1		            10.1	            11.3	B TM	MARTIT1	09/27/2019		        1	08:51:37
	03			   30000798929	908365			101123671	             12,800.000	KG	3389JE1700	050-A	% EDTA		            0.48	%	            0.46	            0.58	B TM	MARTIT1	09/27/2019	Analytically weigh 3g. Titrate with CuSO	        1	08:51:37
	03			   30000798929	908365			101123671	             12,800.000	KG	3389JE1700	024-A	Specific Gravity		           1.022		           0.990	           1.030	B TM	MARTIT1	09/27/2019	68 deg F	        1	08:51:37
	03			   30000798929	908365			101123671	             12,800.000	KG	3389JE1700	INFOBOQ	INFO BOQ Comments				               0	               0	B TM	MARTIT1	09/27/2019		        1	08:51:37
	03			   30000798930	908365			101127035	             11,800.000	KG	3389JE1800	INFOBOQ	INFO BOQ Comments				               0	               0	BATCHJKI	KINGJA2	09/26/2019		        1	12:04:01
	03			   30000798930	908365			101127035	             11,800.000	KG	3389JE1800	024-A	Specific Gravity		           1.022		           0.990	           1.030	BATCHJKI	KINGJA2	09/26/2019	68 deg F	        1	12:04:01
	03			   30000798930	908365			101127035	             11,800.000	KG	3389JE1800	050-A	% EDTA		            0.55	%	            0.46	            0.58	BATCHJKI	KINGJA2	09/26/2019	Analytically weigh 3g. Titrate with CuSO	        1	12:04:01
	03			   30000798930	908365			101127035	             11,800.000	KG	3389JE1800	006-A	pH of a 1 percent Soln		            11.0		            10.1	            11.3	BATCHJKI	KINGJA2	09/26/2019		        1	12:04:01
	03			   30000798930	908365			101127035	             11,800.000	KG	3389JE1800	340-A	Visual		OK		               0	               0	BATCHJKI	KINGJA2	09/26/2019	Appearance of product in clear, colorles	        1	12:04:01
